Age-Adjusted Suicide Rates in the United States (1999-2019),,,
Year,Total Population,Female,Male
1999,10.50,4.00,17.80
2000,10.40,4.00,17.70
2001,10.70,4.10,18.20
2002,11.00,4.20,18.50
2003,10.80,4.20,18.10
2004,11.00,4.50,18.10
2005,10.90,4.40,18.10
2006,11.00,4.50,18.10
2007,11.30,4.70,18.50
2008,11.60,4.80,19.00
2009,11.80,4.90,19.20
2010,12.10,5.00,19.80
2011,12.30,5.20,20.00
2012,12.50,5.40,20.30
2013,12.60,5.50,20.20
2014,13.00,5.80,20.70
2015,13.30,6.00,21.00
2016,13.40,6.00,21.30
2017,14.00,6.10,22.40
2018,14.20,6.20,22.80
2019,13.90,6.00,22.40
